Signal Strength (dBm),"Location (Lat, Long)",Time (HH:MM:SS),Speed (km/h),Handover
-90,"37.7681, -122.4279",09:20:00,340,0
-80,"37.7679, -122.4281",09:22:12,350,1
-70,"37.7677, -122.4284",09:24:24,360,0
-75,"37.7675, -122.4286",09:26:36,370,1
-80,"37.7673, -122.4289",09:28:48,380,0
-85,"37.7671, -122.4291",09:31:00,390,1
-90,"37.7669, -122.4294",09:33:12,400,0
-95,"37.7667, -122.4296",09:35:24,410,1
-100,"37.7665, -122.4299",09:37:36,420,0
-90,"37.7663, -122.4301",09:39:48,430,0
-80,"37.7661, -122.4304",09:42:00,440,1
-70,"37.7659, -122.4306",09:44:12,450,0
-75,"37.7657, -122.4309",09:46:24,460,1
-80,"37.7655, -122.4311",09:48:36,470,0
-85,"37.7653, -122.4314",09:50:48,480,1
-90,"37.7651, -122.4316",09:53:00,490,0
-95,"37.7649, -122.4319",09:55:12,500,1
-100,"37.7647, -122.4321",09:57:24,510,0
-90,"37.7645, -122.4324",09:59:36,520,0
-80,"37.7643, -122.4326",10:01:48,530,1
-70,"37.7641, -122.4329",10:04:00,540,0
-75,"37.7639, -122.4331",10:06:12,550,1
-80,"37.7637, -122.4334",10:08:24,560,0
-85,"37.7635, -122.4336",10:10:36,570,1
-90,"37.7633, -122.4339",10:12:48,580,0
-95,"37.7631, -122.4341",10:15:00,590,1
-100,"37.7629, -122.4344",10:17:12,600,0
-90,"37.7627, -122.4346",10:19:24,610,0
-85,"37.7667, -122.4296",09:35:24,5,1
-90,"37.7665, -122.4299",09:37:36,10,0
-80,"37.7663, -122.4301",09:39:48,20,0
-70,"37.7661, -122.4304",09:42:00,30,1
-60,"37.7659, -122.4306",09:44:12,50,0
-65,"37.7657, -122.4309",09:46:24,60,1
-70,"37.7655, -122.4311",09:48:36,70,0
-75,"37.7653, -122.4314",09:50:48,80,1
-80,"37.7651, -122.4316",09:53:00,90,0
-85,"37.7649, -122.4319",09:55:12,100,1
-90,"37.7647, -122.4321",09:57:24,110,0
-80,"37.7645, -122.4324",09:59:36,120,0
-70,"37.7643, -122.4326",10:01:48,130,1
-60,"37.7641, -122.4329",10:04:00,140,0
-65,"37.7639, -122.4331",10:06:12,150,1
-70,"37.7637, -122.4334",10:08:24,130,0
-75,"37.7635, -122.4336",10:10:36,120,1
-80,"37.7633, -122.4339",10:12:48,110,0
-85,"37.7631, -122.4341",10:15:00,100,1
-90,"37.7629, -122.4344",10:17:12,90,0
-80,"37.7641, -122.4329",10:04:00,20,1
-70,"37.7639, -122.4331",10:06:12,25,0
-75,"37.7637, -122.4334",10:08:24,30,1
-80,"37.7635, -122.4336",10:10:36,35,0
-85,"37.7633, -122.4339",10:12:48,40,1
-90,"37.7631, -122.4341",10:15:00,45,0
-95,"37.7629, -122.4344",10:17:12,50,1
-100,"37.7627, -122.4346",10:19:24,55,0
-90,"37.7625, -122.4349",10:21:36,60,0
-80,"37.7623, -122.4351",10:23:48,65,1
-75,"37.7621, -122.4354",10:26:00,70,0
-80,"37.7619, -122.4356",10:28:12,75,1
-85,"37.7617, -122.4359",10:30:24,80,0
-90,"37.7615, -122.4361",10:32:36,85,1
-95,"37.7613, -122.4364",10:34:48,90,0
-100,"37.7611, -122.4366",10:37:00,95,1
-90,"37.7609, -122.4369",10:39:12,100,0
-80,"37.7607, -122.4371",10:41:24,105,1
-75,"37.7605, -122.4374",10:43:36,110,0
-80,"37.7603, -122.4376",10:45:48,115,1
-80,"37.7641, -122.4329",10:04:00,30,1
-70,"37.7639, -122.4331",10:06:12,40,0
-75,"37.7637, -122.4334",10:08:24,50,1
-80,"37.7635, -122.4336",10:10:36,60,0
-85,"37.7633, -122.4339",10:12:48,70,1
-90,"37.7631, -122.4341",10:15:00,80,0
-95,"37.7629, -122.4344",10:17:12,90,1
-100,"37.7627, -122.4346",10:19:24,100,0
-90,"37.7625, -122.4349",10:21:36,110,0
-80,"37.7623, -122.4351",10:23:48,120,1
-75,"37.7621, -122.4354",10:26:00,130,0
-70,"37.7619, -122.4356",10:28:12,140,1
-75,"37.7617, -122.4359",10:30:24,150,0
-80,"37.7615, -122.4361",10:32:36,160,1
-85,"37.7613, -122.4364",10:34:48,170,0
-90,"37.7611, -122.4366",10:37:00,180,1
-95,"37.7609, -122.4369",10:39:12,190,0
-100,"37.7607, -122.4371",10:41:24,200,1
-90,"37.7605, -122.4374",10:43:36,210,0
-80,"37.7603, -122.4376",10:45:48,220,1
